"Reported At (US/Eastern)"	"Reported At (US/Pacific)"	"Recieved At (Etc/UTC)"	"Latitude"	"Longitude"	"Location Name"	"Speed"	"0: GPS Odo (m)"	"1: Batt Volt (mV)"	"2: Idle Time (s)"	"4: In Motion Time (s)"	"5: Engine Runtime (s)"
"2013-10-19T21:55:17-04:00"	"2013-10-19T18:55:17-07:00"	"2013-10-20T01:55:20+00:00"	"40.7447106"	"-73.981158"	"133 E 31st St, New York, US-NY, 10016, US"	"0.0447387"	"1567398"	"13892"	"21803"	"53099"	"74906"
"2013-10-19T22:00:39-04:00"	"2013-10-19T19:00:39-07:00"	"2013-10-20T02:00:45+00:00"	"40.7465785"	"-73.9860391"	"295-299 5th Avenue, New York, US-NY, 10016, US"	"4.27255"	"1567795"	"13984"	"22073"	"53151"	"75228"
"2013-10-19T22:02:33-04:00"	"2013-10-19T19:02:33-07:00"	"2013-10-20T02:02:42+00:00"	"40.7473741"	"-73.987624"	"35 W 31st St, New York, US-NY, 10001, US"	"0.111847"	"1567925"	"13862"	"22175"	"53163"	"75342"
"2013-10-19T22:03:41-04:00"	"2013-10-19T19:03:41-07:00"	"2013-10-20T02:03:44+00:00"	"40.747623"	"-73.9887216"	"54 W 31st St, New York, US-NY, 10001, US"	"0.178955"	"1568005"	"13862"	"22232"	"53174"	"75410"
"2013-10-19T22:06:09-04:00"	"2013-10-19T19:06:09-07:00"	"2013-10-20T02:06:13+00:00"	"40.7503293"	"-73.9946203"	"243-299 West 31st Street, New York, US-NY, 10001, US"	"0.111847"	"1568562"	"13832"	"22320"	"53234"	"75558"
"2013-10-19T22:08:56-04:00"	"2013-10-19T19:08:56-07:00"	"2013-10-20T02:09:00+00:00"	"40.7549568"	"-73.9972255"	"New York, US-NY, 10018, US"	"39.8846"	"1569291"	"13984"	"22410"	"53310"	"75724"
"2013-10-19T22:12:09-04:00"	"2013-10-19T19:12:09-07:00"	"2013-10-20T02:12:16+00:00"	"40.7628718"	"-74.0243886"	"New Jersey 495, Weehawken, US-NJ, 07086, US"	"33.5988"	"1570071"	"13984"	"22462"	"53451"	"75917"
"2013-10-19T22:13:44-04:00"	"2013-10-19T19:13:44-07:00"	"2013-10-20T02:13:46+00:00"	"40.7721843"	"-74.0312966"	"New Jersey 495, Union City, US-NJ, 07087, US"	"54.7378"	"1571729"	"13892"	"22462"	"53547"	"76013"
"2013-10-19T22:15:59-04:00"	"2013-10-19T19:15:59-07:00"	"2013-10-20T02:16:05+00:00"	"40.7700878"	"-74.063064"	"New Jersey Turnpike, Secaucus, US-NJ, 07094, US"	"80.7087"	"1575376"	"13953"	"22462"	"53682"	"76148"
"2013-10-19T22:16:26-04:00"	"2013-10-19T19:16:26-07:00"	"2013-10-20T02:16:29+00:00"	"40.7645276"	"-74.0710096"	"New Jersey Turnpike, Secaucus, US-NJ, 07094, US"	"87.2853"	"1576298"	"14014"	"22462"	"53709"	"76175"
"2013-10-19T22:16:31-04:00"	"2013-10-19T19:16:31-07:00"	"2013-10-20T02:16:35+00:00"	"40.7636288"	"-74.0730088"	"Seaview Dr, Jersey City, US-NJ, 07094, US"	"86.2339"	"1576494"	"14014"	"22462"	"53714"	"76180"
"2013-10-19T22:18:55-04:00"	"2013-10-19T19:18:55-07:00"	"2013-10-20T02:19:00+00:00"	"40.7488111"	"-74.118701"	"New Jersey Turnpike, Kearny, US-NJ, 07032, US"	"82.0732"	"1580811"	"13984"	"22462"	"53858"	"76324"
"2013-10-19T22:19:30-04:00"	"2013-10-19T19:19:30-07:00"	"2013-10-20T02:19:36+00:00"	"40.7384486"	"-74.1234988"	"New Jersey Turnpike, Newark, US-NJ, 07105, US"	"90.5959"	"1582046"	"14014"	"22462"	"53893"	"76359"
"2013-10-19T22:19:40-04:00"	"2013-10-19T19:19:40-07:00"	"2013-10-20T02:19:43+00:00"	"40.7349111"	"-74.1237023"	"U.S. 9, Newark, US-NJ, 07105, US"	"86.4128"	"1582440"	"13953"	"22462"	"53903"	"76369"
"2013-10-19T22:20:02-04:00"	"2013-10-19T19:20:02-07:00"	"2013-10-20T02:20:07+00:00"	"40.7285596"	"-74.1287253"	"New Jersey Turnpike, Newark, US-NJ, 07105, US"	"94.0632"	"1583281"	"13953"	"22462"	"53925"	"76391"
"2013-10-19T22:20:12-04:00"	"2013-10-19T19:20:12-07:00"	"2013-10-20T02:20:14+00:00"	"40.7259198"	"-74.131788"	"New Jersey Turnpike, Newark, US-NJ, 07105, US"	"74.6689"	"1583674"	"13923"	"22462"	"53935"	"76401"
"2013-10-19T22:21:18-04:00"	"2013-10-19T19:21:18-07:00"	"2013-10-20T02:21:21+00:00"	"40.7110265"	"-74.1479941"	"New Jersey Turnpike, Newark, US-NJ, 07114, US"	"84.1759"	"1585911"	"14014"	"22462"	"54001"	"76467"
"2013-10-19T22:22:04-04:00"	"2013-10-19T19:22:04-07:00"	"2013-10-20T02:22:09+00:00"	"40.7100345"	"-74.1610535"	"Interstate 78 Express, Newark, US-NJ, 07114, US"	"76.1677"	"1587180"	"14014"	"22462"	"54047"	"76513"
